"game_id","season","foul","qtr","home_team_id","away_team_id","leading_team","winner","success","home_game_fgpct","home_game_3pct","home_game_FTpct","away_game_fgpct","away_game_3pct","away_game_FTpct","clock_seconds","leading_fgpct","leading_3pct","leading_FTpct","opponent_fgpct","opponent_3pct","opponent_FTpct"
250322010,2005,1,4,"HOU","MIA","home","home",1,35.4,23.8,71.9,40,30.8,66.7,2.7,35.4,23.8,71.9,40,30.8,66.7
250325025,2005,1,4,"OKC","NY","home","home",1,44.4,36,82.4,41.7,11.1,80.6,21.8,44.4,36,82.4,41.7,11.1,80.6
250326030,2005,1,4,"CHA","MIA","home","home",1,45.8,44.4,73.7,44,33.3,52,4.1,45.8,44.4,73.7,44,33.3,52
250406022,2005,1,4,"POR","GS","away","away",1,48.7,23.1,79.3,40.6,42.3,68.2,9.3,40.6,42.3,68.2,48.7,23.1,79.3
250413026,2005,1,4,"UTAH","SA","home","home",1,44.3,42.9,76.9,41.4,27.3,75,8.5,44.3,42.9,76.9,41.4,27.3,75
251113028,2006,1,4,"TOR","SEA","away","away",1,46.9,40.6,69.2,50.6,23.8,83.7,2.7,50.6,23.8,83.7,46.9,40.6,69.2
251127013,2006,1,4,"LAL","NJ","away","away",1,33.7,20.8,71.1,44.2,14.3,76.7,12.5,44.2,14.3,76.7,33.7,20.8,71.1
251209009,2006,1,4,"GS","DET","away","away",1,45.1,22.2,92.6,51.3,29.4,80.8,6.9,51.3,29.4,80.8,45.1,22.2,92.6
251230011,2006,1,4,"IND","TOR","away","away",1,42.5,28.6,76.7,47.5,25,70.4,2.5,47.5,25,70.4,42.5,28.6,76.7
260106007,2006,1,5,"DEN","DAL","away","away",1,44.1,38.9,79.3,48.8,33.3,75,4.2,48.8,33.3,75,44.1,38.9,79.3
260118007,2006,1,4,"DEN","CLE","home","home",1,38.8,36.4,80,41.6,31.3,57.1,2.6,38.8,36.4,80,41.6,31.3,57.1
260118024,2006,1,4,"SA","MIL","home","home",1,45.7,35.3,78.1,50,22.2,77.8,3.5,45.7,35.3,78.1,50,22.2,77.8
260120020,2006,1,5,"PHI","MEM","home","home",1,41.6,33.3,75,39.5,22.7,59.1,1.3,41.6,33.3,75,39.5,22.7,59.1
260125022,2006,1,4,"POR","DEN","away","away",1,51.2,20,61.5,49.4,10,80,1.9,49.4,10,80,51.2,20,61.5
260201003,2006,1,4,"NO","CHI","away","home",0,43.9,35.7,74.2,45.2,38.1,70,10.5,45.2,38.1,70,43.9,35.7,74.2
260206005,2006,1,4,"CLE","MIL","home","home",1,49.3,27.8,76.9,38.6,35,71.4,3.8,49.3,27.8,76.9,38.6,35,71.4
260215020,2006,1,5,"PHI","SA","home","home",1,45.6,60,78.3,44,31.3,75,8.1,45.6,60,78.3,44,31.3,75
260323006,2006,1,4,"DAL","GS","home","away",0,54.1,40,92.1,46.7,45.8,89.3,5.1,54.1,40,92.1,46.7,45.8,89.3
260326010,2006,1,5,"HOU","CLE","away","away",1,48.6,50,86.2,43.2,38.1,70,0.6,43.2,38.1,70,48.6,50,86.2
